id,first_name,last_name,player_number,team_name,player_position,home_runs
1,Deva,Treherne,35,Slovak University of Technology in Bratislava,circuit,181
2,Toinette,Spindler,39,University of Akron,Horizontal,466
3,Patton,Boman,5,Hollins University,Persistent,535
4,Bernelle,Durran,35,Odessa National Academy of Food Technologies,attitude-oriented,277
5,Ceciley,Heinig,98,Nicholls State University,logistical,567
6,Bran,Eilhersen,74,Shiraz University of Technology,holistic,519
7,Aarika,Emmott,93,Muhimbili University of Health and Allied Sciences (MUHAS),benchmark,988
8,Maximo,Warbeys,39,Medical College of Wisconsin,responsive,13
9,Deina,Causby,7,Université de Haute-Alsace,Robust,839
10,Baillie,Witter,75,Shawnee State University,Function-based,520
11,Ortensia,Pennuzzi,4,Universidad Católica Popular del Risaralda,array,714
12,Almire,Cristofanini,26,Tohoku College of Pharmacy,function,339
13,Stern,Polon,61,Bezalel Academy of Art and Design,success,994
14,Alasdair,Eades,23,Adamawa State University,toolset,5
15,Maurene,Ward,65,Ohio Dominican College,impactful,242
16,Chadwick,McAuslene,73,"University ""Petre Andrei"" Iasi",coherent,475
17,Dorolisa,Bartles,67,Menlo College,Switchable,259
18,Pierre,Maddrell,19,Universitas Pesantren Darul Ulum Jombang,holistic,825
19,Jolynn,Bortoloni,57,University of Engineering and Technology Lahore,Team-oriented,310
20,Moreen,Harrinson,7,Weill Medical College of Cornell University,help-desk,505
21,Charo,Della,14,Tomsk State University of Architecture and Building,uniform,245
22,Ximenes,Varvara,79,"Institute of Teachers Education, Tawau",Extended,87
23,Helenka,Bon,69,American Military University,zero tolerance,331
24,Quinn,Lowden,76,Clark University,adapter,424
25,Darlene,Beardsworth,82,Inchon National University of Education,Multi-tiered,154
26,Doti,Philip,87,Southwest University of Nationalities,leading edge,452
27,Friedrick,Peatman,81,St. Lawrence University,system engine,118
28,Roger,Dolan,67,Oklahoma Christian University,3rd generation,268
29,Honor,Bartlet,54,Edinboro University of Pennsylvania,neural-net,693
30,Shalne,Verrills,38,Universidad Insurgentes Plantel León,data-warehouse,694
31,Benedicto,Bode,3,Université Vincennes Saint-Denis (Paris VIII),info-mediaries,952
32,Nellie,Haine,33,Kumamoto Gakuen University,Face to face,909
33,Mile,Counihan,84,Northwest University Xi'an,workforce,944
34,Gilbertine,Jewster,87,Hogere Zeevaartschool - Maritime Academy,Graphic Interface,596
35,Beck,Tomkins,45,Ecole Supérieure des Sciences et Technologie de l'Ingénieur de Nancy,methodical,907
36,Cristine,Pursglove,100,ITT Technical Institute Fort Wayne,Team-oriented,420
37,Wenda,Grzesiak,9,Perm State Academy of Agriculture,help-desk,832
38,Shawn,Cowsby,51,Universiti Darul Iman,fresh-thinking,456
39,Sigismund,Gazey,14,Institut National Supérieur de Formation Agro-Alimentaire,optimal,884
40,Leonardo,Maytom,41,Indian Institute of Information Technology and Management - Kerala,open system,661
41,Calvin,Eydel,35,Bloomfield College,Expanded,677
42,Ellerey,Kordt,72,Matsumoto Dental University,Grass-roots,381
43,Hildy,Biggins,84,Nova Scotia College of Art and Design,policy,529
44,Jodee,Mattiuzzi,100,University of Baghdad,Expanded,559
45,Johanna,Robertelli,66,University “Pavaresia” Vlore,Expanded,91
46,Krissie,Bendson,25,Universidad Técnica Estatal de Quevedo,6th generation,184
47,Alan,Segebrecht,66,Université de Chlef,grid-enabled,987
48,Vern,Di Giacomettino,21,Universitas Udayana,application,998
49,Frederique,Lorenzini,25,Oregon State University,systemic,674
50,Averell,Skalls,65,Claflin College,policy,837
51,Aliza,Conigsby,33,Lancaster University Ghana,optimal,106
52,Samuel,Coppens,5,Alkharj University,discrete,723
53,Grete,Williment,57,Florida Memorial College,methodical,68
54,Claude,Tyndall,7,Taoist College Singapore,info-mediaries,999
55,Codie,Tregidgo,88,Franciscan School of Theology,neural-net,757
56,Josefa,Hellikes,87,Kansai University,asymmetric,428
57,Pablo,Liddon,34,Tietgen Business College,uniform,458
58,Schuyler,Spellard,27,"Institute of Teachers Education, Batu Lintang",Reverse-engineered,985
59,Jamill,Holwell,61,Fundación Universitaria Luis Amigó,Down-sized,998
60,Josy,Bearn,66,Semyung University,object-oriented,499
61,Aubrette,Wards,7,Police Academy in Bratislava,knowledge base,34
62,Fredelia,Portriss,12,"Johns Hopkins University, SAIS Bologna Center",Enhanced,265
63,Carr,Krahl,7,College of Aeronautics,Vision-oriented,570
64,Nevin,Lazell,6,Universidad del País Vasco,open architecture,229
65,Mason,Abadam,10,Argosy University - Hawaii,Centralized,38
66,Mufinella,Crucitti,59,Western States Chiropractic College,hardware,571
67,Natasha,Swine,45,Baltimore International College,open system,297
68,Bel,Hourstan,87,Universidad Nacional de San Luis,Fully-configurable,835
69,Star,Gaukroger,2,The Queen's University Belfast,local,263
70,Dulcia,Le Breton De La Vieuville,92,University of South Asia,mission-critical,382
71,Eva,Goadbie,85,University of Sannio,asymmetric,317
72,Zeb,Godsafe,37,Portland State University,task-force,954
73,Wynne,Gabb,88,Samford University,eco-centric,201
74,Sawyer,Yeulet,23,Qiongzhou University,Innovative,931
75,Elianore,Chiese,72,University of Sopron,circuit,49
76,Galven,Nordass,55,Faculdade Integradas do Ceará,intranet,32
77,Byrle,Wardle,53,Université de la Polynésie Française,contextually-based,17
78,Corenda,Burchall,24,Mount Royal College,User-friendly,202
79,Tessi,Cotterell,11,University of Canberra,solution,54
80,Cicely,Solomon,88,Otto-Friedrich Universität Bamberg,algorithm,848
81,Oralla,Plastow,7,Bifrost School of Business,object-oriented,376
82,Orazio,Bellie,44,Lithunian Institute of Physical Education,human-resource,400
83,Jere,Tumasian,84,Armstrong Atlantic State University,Upgradable,377
84,Elyssa,Creeber,62,Zarka Private University,help-desk,284
85,Jenilee,Pordall,6,Brookdale Community College,needs-based,669
86,Renie,Cullagh,90,Chittagong Independent University,hierarchy,594
87,Titos,Bruce,47,Warsaw School of Information Technology,attitude-oriented,413
88,Diane,Cessford,6,"Institute of Teachers Education, Penang",local,273
89,Sallyanne,Rutgers,80,University of Guyana,monitoring,43
90,Ursulina,Tellenbroker,48,University of Sopron,full-range,8
91,Sherwood,Smitten,54,Universidad de Puerto Rico,Programmable,979
92,Carla,Shirtliff,88,Eastern Illinois University,Down-sized,671
93,Tildy,Marcos,30,Université Val-de-Marne (Paris XII),archive,506
94,Elena,MacAvaddy,74,Universidad Técnica de Babahoyo,Customer-focused,931
95,Nita,Sherbrook,45,Université de Béjaia,Monitored,248
96,Georas,Tween,17,Universidad de la Cuenca del Plata,full-range,3
97,Benni,Collyns,77,Sadat Academy for Management Sciences,Mandatory,846
98,Ax,Gumby,51,Odlar Yurdu University,4th generation,192
99,Colleen,Jotham,61,Lampang Vocational College   ,context-sensitive,481
100,Natale,Lovart,1,"Rutgers, The State University of New Jersey",challenge,734
