id,FirstName,LastName,PlayerNumber,TeamName,PlayerPosition,HomeRuns
1,Vinny,Wauchope,59,First Nations University of Canada,client-server,581
2,Laina,Cradduck,63,Universidad Torcuato di Tella,Up-sized,253
3,Erwin,Matei,74,Universidad Peruana Union,clear-thinking,415
4,Shea,Dubery,97,Fachhochschule Gießen-Friedberg,maximized,648
5,Eolanda,Jobbins,57,Ho Chi Minh City University of Agriculture and Forestry,Quality-focused,64
6,Simonne,Pluck,30,University of Wisconsin - Superior,artificial intelligence,792
7,Adele,Lightowler,17,Dallas Baptist University,object-oriented,323
8,Emmy,Arthurs,18,Western Baptist College,homogeneous,295
9,Jefferey,Daughton,24,Ohio University - Eastern,zero tolerance,265
10,Lucien,Augustus,55,Royal Melbourne Institute of Technology,ability,87
11,Shayne,Juschke,9,"Islamic Azad University, Bandar Abbas",systematic,289
12,Basil,Auchinleck,65,Mahidol University,context-sensitive,699
13,Ashil,Westmarland,52,Njala University,well-modulated,249
14,Edmund,Maund,74,Sabanci University,didactic,890
15,Sholom,Waterhouse,18,Université Shalom de Bunia,Cross-platform,509
16,Noni,Hollier,56,Technological Education Institute of Athens,Fundamental,202
17,Eleanore,Meenehan,20,Université de Sfax,Multi-layered,9
18,Lethia,Trinbey,9,Gulf Medical University,Secured,818
19,Kaitlynn,Deacon,33,Technological University (Sittwe),attitude-oriented,964
20,Ania,Varlow,5,New York School of Interior Design,Managed,4
21,Freda,McNickle,54,Olivet College,Ameliorated,429
22,Karna,Alsobrook,10,Saratov State Socio-Economic University,Advanced,676
23,Binnie,Stretton,97,Université de Kikwite,responsive,844
24,Bridget,Benza,50,Universidad Autónoma de Occidente,bifurcated,71
25,Gabriello,Huster,78,Universidad Nacional Agraria La Molina,zero tolerance,419
26,Clari,Churm,29,Fort Hays State University,high-level,882
27,Viva,McLeod,7,Hochschule Bremerhaven,tertiary,607
28,Eamon,Moncaster,30,Ecole Supérieure de Commerce de Lille,next generation,992
29,Isa,Tuxsell,89,Union University,Graphical User Interface,721
30,Donnie,Foote,45,Hankuk University of Foreign Studies,hybrid,718
